    N   m  best_gain  gain^(1/m)  self-ovlp
  400   1     1.7599      1.7599    -0.0823
  400   2     1.7656      1.3287     0.1349
  400   4     1.3680      1.0815     0.0785
  400   6     0.8523      0.9737    -0.0370
  400   8     0.5660      0.9313     0.0045
  400  10     0.3485      0.8999    -0.0431
  400  14     0.0970      0.8465    -0.0507
  400  20     0.0172      0.8163    -0.0615
  800   1     1.7553      1.7553     0.0455
  800   2     1.7529      1.3240     0.0402
  800   4     1.3640      1.0807     0.0993
  800   6     0.8212      0.9677    -0.0027
  800   8     0.4904      0.9148     0.0531
  800  10     0.2644      0.8754    -0.0866
  800  14     0.0857      0.8390    -0.0370
